2020-06-07 21:07:08,781 INFO [main] org.apache.hadoop.metrics2.impl.MetricsConfig: loaded properties from hadoop-metrics2.properties
2020-06-07 21:07:08,940 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: Scheduled snapshot period at 10 second(s).
2020-06-07 21:07:08,940 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: ReduceTask metrics system started
2020-06-07 21:07:08,967 INFO [main] org.apache.hadoop.mapred.YarnChild: Executing with tokens:
2020-06-07 21:07:08,967 INFO [main] org.apache.hadoop.mapred.YarnChild: Kind: mapreduce.job, Service: job_1591578330124_0001, Ident: (org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier@2f51cd27)
2020-06-07 21:07:09,145 INFO [main] org.apache.hadoop.mapred.YarnChild: Sleeping for 0ms before retrying again. Got null now.
2020-06-07 21:07:09,674 INFO [main] org.apache.hadoop.mapred.YarnChild: mapreduce.cluster.local.dir for child: /tmp/hadoop-root/nm-local-dir/usercache/root/appcache/application_1591578330124_0001
2020-06-07 21:07:10,523 INFO [main] org.apache.hadoop.conf.Configuration.deprecation: session.id is deprecated. Instead, use dfs.metrics.session-id
2020-06-07 21:07:11,357 INFO [main] org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter: File Output Committer Algorithm version is 1
2020-06-07 21:07:11,390 INFO [main] org.apache.hadoop.mapred.Task:  Using ResourceCalculatorProcessTree : [ ]
2020-06-07 21:07:11,409 INFO [main] org.apache.hadoop.mapred.ReduceTask: Using ShuffleConsumerPlugin: org.apache.hadoop.mapreduce.task.reduce.Shuffle@2e826935
2020-06-07 21:07:12,952 INFO [main] org.apache.hadoop.conf.Configuration.deprecation: mapred.skip.on is deprecated. Instead, use mapreduce.job.skiprecords
2020-06-07 21:07:12,964 INFO [main] edu.mum.cs522.project1.AverageComputation$Reduce: ---REDUCER OUTPUT---
2020-06-07 21:07:12,964 INFO [main] edu.mum.cs522.project1.AverageComputation$Reduce: <0x503e4fce.virnxx2.adsl-dhcp.tele.dk, 3947/3(=1315.6666)>
2020-06-07 21:07:12,966 INFO [main] edu.mum.cs522.project1.AverageComputation$Reduce: <1-320.cnc.bc.ca, 43518/4(=10879.5)>
2020-06-07 21:07:12,966 INFO [main] edu.mum.cs522.project1.AverageComputation$Reduce: <1-729.cnc.bc.ca, 22838/7(=3262.5715)>
2020-06-07 21:07:12,975 INFO [main] edu.mum.cs522.project1.AverageComputation$Reduce: <10.0.0.153, 1200145/270(=4444.9814)>
2020-06-07 21:07:12,975 INFO [main] edu.mum.cs522.project1.AverageComputation$Reduce: <12.22.207.235, 7368/1(=7368.0)>
