2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, A10), 1), ((A12, *), 1)>
2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, B12), 1), ((A12, *), 1)>
2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, D76), 1), ((A12, *), 1)>
2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, C31), 1), ((A12, *), 1)>
2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, B11), 1), ((A12, *), 1)>
2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, C31), 1), ((B12, *), 1)>
2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, D76), 1), ((B12, *), 1)>
2020-06-07 21:20:15,477 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, C31), 1), ((B12, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, A10), 1), ((B12, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, D76), 1), ((C31, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, C31), 1), ((D76, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, A10), 1), ((D76, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B12), 1), ((D76, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, A10), 1), ((C31, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, B12), 1), ((C31, *), 1)>
2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, D76), 1), ((C31, *), 1)>
